DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
0740;007400;AGFA Agfacolor Optima 400-N;;;;;;;;0;
0785;007850;AGFA AGFACOLOR OPTIMA II 100 Professional #OPTIMA2 OptimaII;;Agfa Gevaert AG;;;1998;2002;;0;AgfaOptima2-100.jpg
0788;007880;AGFA AGFACOLOR OPTIMA II 200 Professional #OPTIMA2 OptimaII;;;;;1998;2002;;0;AgfaOptima2-200.jpg
0795;007950;AGFA AGFACOLOR OPTIMA II 200 Professional #OPTIMA2 OptimaII;;Agfa Gevaert AG;;;1998;2002;;0;AgfaOptima2-200.jpg
0797;007970;AGFA AGFACOLOR OPTIMA II 200 Professional #OPTIMA2 OptimaII;;;;;1998;2002;;0;AgfaOptima2-200.jpg
0793;007930;AGFA AGFACOLOR OPTIMA II 400 Professional #OPTIMA2 OptimaII;;;;;1998;2002;;0;AgfaOptima2-400.jpg
0274;002740;AGFA AGFACOLOR Portrait 160 Professional (Code XPS) Portrait160;Successor of Portrait XPS, or same film ?;;;;1997;2005;;0;AgfaPortrait160.jpg
0737;007374;AGFA Agfacolor Ultra 100 ultracolor;"""For ultra high color saturation"".";Agfa Gevaert AG;;Made in Germany;2002;~2005;;0;AgfaUltracolor100.jpg
0275;002750;AGFA AGFACOLOR ULTRA 50 Professional ultracolor;"""For ultra high color saturation"". ";Agfa Gevaert AG;;Made in Germany;1990;1998;;0;AgfaColorUltra50.jpg
1813;018130;AGFA AGFACOLOR Vista 100;Not the same film as AgfaPhoto Vista…;Agfa Gevaert AG;;Made in Germany;2000;2005;;0;AgfaVista100.jpg
1819;018190;AGFA Agfacolor Vista 100-N New;;Agfa Gevaert AG;;;;2005 ?;;0;AgfaNewVista100.jpg
1814;018140;AGFA AGFACOLOR Vista 200;Not the same film as AgfaPhoto Vista…;Agfa Gevaert AG;;Made in Germany;2000;2005;;0;AgfaVista200.jpg
1820;018204;AGFA AGFACOLOR Vista 200 ;Not the same film as AgfaPhoto Vista…;Agfa Gevaert AG;;Made in Germany;2000;2005;;0;AgfaVista200.jpg
1821;018214;AGFA AGFACOLOR Vista 200 ;Not the same film as AgfaPhoto Vista…;Agfa Gevaert AG;;Made in Germany;2000;2005;;0;AgfaVista200.jpg
1814;;AGFA AGFACOLOR Vista 200 Spider Pack #spiderman;Promotionnal pack with spiderman;Agfa Gevaert AG;;Made in Germany;~2004;~2004;;0;AgfaVistaSpiderman.jpg
1820;018200;AGFA Agfacolor Vista 200-N New;Not the same film as AgfaPhoto Vista…;Agfa Gevaert AG;;;2000;2005;;0;AgfaNewVista200.jpg
1818;018180;AGFA AGFACOLOR Vista 400;Not the same film as AgfaPhoto Vista…;Agfa Gevaert AG;;Made in Germany;2000;2005;;0;AgfaVista400.jpg
1818;;AGFA AGFACOLOR Vista 400 – Film conditionné pour la gendarmerie nationale;Film for the french gendarmerie;Agfa Gevaert AG;;Made in Germany;2000;2005;Gendarmerie nationale, Fr;0;AgfaVista400gendarmerie.jpg
1821;018210;AGFA Agfacolor Vista 400-N New;Not the same film as AgfaPhoto Vista…;Agfa Gevaert AG;;;;2005 ?;;0;AgfaVista400.jpg
1815;018150;AGFA AGFACOLOR Vista 800;Agfa's first ISO 800 color-negative film;Agfa Gevaert AG;;Made in Germany;2001;2005;;0;AgfaVista800.jpg
1816;018160;AGFA Agfacolor Vista 800-N New;;Agfa Gevaert AG;;;2001;2005;;0;AgfaVista800.jpg
0786;007860;AGFA AGFACOLOR XPS160 Portrait Professional;;Agfa Gevaert AG;;;~1990 ?;~1995 ?;;0;AgfaPortraitXPS160.jpg
0272;002723;AGFA AGFACOLOR XR100;;;;;1984;~1996 ?;;0;AgfaXR100.jpg
0272;002723;AGFA AGFACOLOR XR100i;;;;;1996;1988;;0;AgfaXR100i.jpg
0272;002727;AGFA AGFACOLOR XR100i Maxi;24+3 exp.;;;;1996;1988;;0;
0272;002722;AGFA AGFACOLOR XR100i Mini;15 exp.;;;;1996;1988;;0;
0485;004850;AGFA AGFACOLOR XR200;;;;;1984;~1996 ?;;0;AgfaColorXR200.jpg
0784;007840;AGFA AGFACOLOR XR200;;;;;1984;~1996 ?;;0;AgfaColorXR200.jpg
0273;002730;AGFA AGFACOLOR XRC100;;;;;1988;1989 ?;;0;
0273;002730;AGFA AGFACOLOR XRG100;;;;;;;;0;AgfacolorXRG100.jpg
0274;002740;AGFA AGFACOLOR XRG100;;;;;;;;0;AgfacolorXRG100.jpg
1843;018433;AGFA AGFACOLOR XRG100;Also sold as cheap Perutz SC 100-3 Color (Same DX number);Agfa Gaevert AG;;Made in Germany;1989;1994;;0;AgfacolorXRG100.jpg
0274;002748;AGFA AgfaColor XRG100 Maxi;24+3 exp.;Agfa Gaevert AG;;Made in Germany;1989;1994;;0;AgfaColorXRG100maxi.jpg
1843;018437;AGFA AgfaColor XRG100 Maxi;24+3 exp. Also sold as cheap Perutz SC 100-3 Color (Same DX number);Agfa Gaevert AG;;Made in Germany;1989;1994;;0;AgfaColorXRG100maxi.jpg
0275;002750;AGFA AGFACOLOR XRG200;;Agfa-Gevaert AG;;;1989;1991;;0;AgfaXRG200.jpg
0276;002760;AGFA AGFACOLOR XRG200;;Agfa-Gevaert AG;;;1989;1991;;0;AgfaXRG200.jpg
0277;002778;AGFA AGFACOLOR XRG200;;Agfa-Gevaert AG;;;1989;1991;;0;AgfaXRG200.jpg
0756;007564;AGFA AGFACOLOR XRG200;Agfacolor 200-N improved ?;Agfa-Gevaert AG;2;;1989;1994;;0;AgfaXRG200.jpg
1845;018454;AGFA AGFACOLOR XRG200;;Agfa-Gevaert AG;;Made in Germany;1989;1991 ?;;0;AgfaXRG200.jpg
0285;002850;AGFA AGFACOLOR XRG200 (improved);;Agfa-Gevaert AG;;;1991;1994;;0;AgfaColorXRG200.jpg
0753;007534;AGFA AGFACOLOR XRG200 (improved);;Agfa-Gevaert AG;;;1991;1994;;0;AgfaXRG200.jpg
0287;002870;AGFA AGFACOLOR XRG200-2 XRG2;;Agfa-Gevaert AG;;;end of 90’s ??;;;0;
0279;002790;AGFA AGFACOLOR XRG400;;Agfa-Gevaert AG;;Made in Germany;1989;1994;;0;AgfaXRG400.jpg
0273;;AGFA Agfacolor XRS100 Professional;;;;;~1984;1989;;0;AgfaXRS100.jpg
0273;002730;AGFA Agfacolor XRS100 Professional Gen. 2 (Improved with XRC emulsion technology);;;;;1989;1996 ?;;0;
0282;002820;AGFA AGFACOLOR XRS1000 Professional Gen. 2 (Improved with XRC emulsion technology) XRS 1000;;;;;1985;1989;;0;AgfaColorXRS1000.jpg
1840;018400;AGFA AGFACOLOR XRS1000 Professional XRS 1000;;;;;1984;1985;;0;AgfaColorXRS1000.jpg
0273;;AGFA Agfacolor XRS100LC Professional;Predecessor of Portrait 160 Professional;;;;1989;1990;;0;AgfaXRS100LC.jpg
0276;002760;AGFA AGFACOLOR XRS200;;Agfa-Gevaert AG;;;1989;1991;;0;AgfaXRS200.jpg
0785;007850;AGFA Agfacolor XRS200 Professional #200XRS;;;;;~1984;1989;;0;AgfaXRS200.jpg
0788;007880;AGFA Agfacolor XRS200 Professional Gen. 2 (Improved with XRC emulsion technology) #200XRS;;;;;1989;1992;;0;AgfaXRS400new.jpg
0279;002790;AGFA Agfacolor XRS400 #400XRS;;;;;1984;1985 ?;;0;
1808;018080;AGFA Agfacolor XRS400 Professional #400XRS;;;;;1985 ?;1989;;0;AgfaXRS400.jpg
0791;007910;AGFA Agfacolor XRS400 Professional Gen. 2 (Improved with XRC emulsion technology) #400XRS;;;;;1989;1994;;0;AgfaXRS400new.jpg
0020;000204;AGFA AGFAORTHO 25 Professional;;Agfa-Gevaert AG;;Made in Germany;Earley 80’s ?;End of 80’s ?;;0;AgfaOtho25.jpg
0020;;AGFA AGFAORTHO 25 Professional (non-DX coded);;Agfa-Gevaert AG;;Made in Germany;60’s ?;Earley 80’s ?;;0;AgfaOrtho25First.jpg
0023;000234;AGFA APX 100 Professional #APX100 not AGFAPAN;Original by Agfa, improved APX emulsion (?) and new box. Not the same film as AgfaPhoto APX. ;;;Made in Germany;2002 ?;2004;;0;APX100Agfa.jpg
0023;000234;AGFA APX 100 Professional AGFAPAN #APX100 ;Original by Agfa, improved Agfapan 100. Not the same film as AgfaPhoto APX. ;;;Made in Germany;1989;2002 ?;;0;APX100Agfaoriginal.jpg
0022;000224;AGFA APX 25 Professional #APX25 AGFAPAN;Improved Agfapan 25;;;Made in Germany;1989;~2000;;0;APX25Agfa.jpg
0019;000190;AGFA APX 400 Professional (New Generation) #APX400 AGFAPAN;Improved APX 400 by Agfa. Not the same film as AgfaPhoto APX;;;Made in Germany;2003;2005;;0;APX400Agfa.jpg
0019;000190;AGFA APX 400 Professional #APX400 AGFAPAN;Original by Agfa. Not the same film as AgfaPhoto APX;;;Made in Germany;1989;2003;;0;APX400Agfa.jpg
0753;007530;AGFA cuti cuti malaysia 200 ISO;AGFA Agfacolor 200. For malaysian market (Cuti cuti malaysia campaign?);Agfa;;Made in Germany ?;90’s;;;0;AgfaCuti.jpg
0794;007944;Agfa Optima Prestige 400 ;;;;;;;;0;AgfaOptima400Prest.jpg
0020;000204;AGFA ORTHO 25 Professional #Agfaortho;;Agfa-Gevaert AG;;Made in Germany;Mid 70’s ?;2001;;0;Agfa_ortho25.jpg
1814;018147;Agfa Pro 200;Agfa Vista 200;;;;~2000 ?;;;0;AgfaPro200.jpg
1809;018093;Agfa Replacement Film Colour ISO 100;Agfacolor Vista 100;Agfa-Gevaert AG;3;Made in Germany;;;;0;
1813;018133;Agfa Replacement Film Colour ISO 100;Agfacolor Vista 100;Agfa-Gevaert AG;3;Made in Germany;;;;0;
0024;000240;AGFA SCALA 200 Professional B&W slides ;B&W slide, based on APX (& DD12?). First version had process paid. Replace Agfa Dia Direct DD12;Agfa;;Made in Germany;1996;1999;;0;AgfaScala200.jpg
0024;000240;AGFA SCALA 200X Professional B&W slides ;B&W slide, based on APX. Improved version, better density;Agfa;;Made in Germany;1999;2006;;0;AgfaScala200X.jpg
1771;017711;"AgfaPhoto APX 100 (""New Emulsion"" on box) #APX100";Kentmere 100;Kentmere;3;Made in EU;2012 ?;2013 ?;Lupus Imaging & Media;0;APX100AgfaNewEmul.jpg
0023;000234;AgfaPhoto APX 100 (New) #APX100;Same code as original APX100. Last batch of real APX;Agfa;2;Made in Germany;2006 ?;~2012 ?;Lupus Imaging & Media;0;APX100Agfaphoto.jpg
1771;017711;AgfaPhoto APX 100 (New) #APX100;Kentmere 100;Kentmere;3;Made in EU;2013 ?;;Lupus Imaging & Media;2;APX100Agfaphoto.jpg
1771;017712;"AgfaPhoto APX 400 (""New Emulsion"" on box) #APX400";Kentmere 400;Kentmere;3;Made in EU;2013 ?;2014 ?;Lupus Imaging & Media;0;APX400AgfaNewEmul.jpg
1771;017712;AgfaPhoto APX 400 (New) #APX400;Kentmere 400;Kentmere;3;Made in EU;2014 ?;;Lupus Imaging & Media;2;APX400Agfaphoto.jpg
0057;000574;AgfaPhoto CT precisa CT100;"Last batch of ""real"" Agfachrome CT precisa 100";Agfa;3;Made in EU;2006;2010;Lupus Imaging & Media;0;
0557;105574;AgfaPhoto CT Precisa CT100 ;Fujichrome Provia 100F Professional / Trebi 100C;Fujifilm;3;Made in Japan ;2010 ?;2018;Lupus Imaging & Media;0;AgfaPhotoCT100.jpg
1395;013954;AgfaPhoto Vista 100;Solaris FG;Ferrania;3;;2006;2010;Lupus Imaging & Media;0;AgfaphotoVista100.jpg
1398;013980;AgfaPhoto Vista 200;Solaris FG;Ferrania;3;;2006;2010;Lupus Imaging & Media;0;AgfaphotoVista200.jpg
1399;013994;AgfaPhoto Vista 400 ;Ferrania Color FG Plus 400;Ferrania;4;;2006;2010;Lupus Imaging & Media;0;AgfaphotoVista400First.jpg
0627;806270;AgfaPhoto Vista plus 100 #Vista+100;Fujicolor Superia. Uncertain DX number…;Fujifilm;3;;2010;2018;Lupus Imaging & Media;1;AgfaPhotoVistaplus100.jpg
0625;806254;AgfaPhoto Vista Plus 200 #Vista+200;Fujicolor C200 / Superia;;3;Made in Japan;2010;2018;Lupus Imaging & Media;0;AgfaPhotoVistaplus200.jpg
0628;806283;AgfaPhoto Vista Plus 400 #Vista+400;Fujfilm Superia Xtra 400 or Superia Premium 400;Fujifilm;4;Made in Japan;2010;2018;Lupus Imaging & Media;1;AgfaPhotoVistaPlus400.jpg
1364;;AKICA HP 400 #HP400;IMATION COLOR HP400;Ferrania;4;;;;;0;
1394;013947;Albert Heijn (AH) Color 24+4 ISO 200;Solaris Color FG200;3M / Ferrania;4;;;;Albert Heijn supermarket, Netherland;0;AlbertHeijn200.jpg
