DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
0371;003714;Kodak EKTACHROME Elite 200 slide film - Code : 5056 - ED;Same technology as Ektachrome 400X;;;;1993;~2000 ?;;0;KodakEktaElite200.jpg
0333;003330;Kodak EKTACHROME Elite 400 Slide Film (Daylight) - Code : 5074 – EL;Close or same emulsion than Ektachrome 400HC;;;;1993;~2000 ?;;0;KodakEktaElite400.jpg
0372;003720;Kodak EKTACHROME Elite 50 - Code : 5065 - EA;;Eastman Kodak Company;;Made in USA;1994;~2000 ?;;0;KodaEktaElite50.jpg
0376;003764;Kodak EKTACHROME Elite II 50 EA #EliteII elite2;;;;;1996;1998;;0;
0376;;Kodak EKTACHROME Elite II 50 EM #EliteII elite2;;;;;1996;1998;;0;
0098;000980;Kodak EKTACHROME Infrared - Code : 2236 - IE;Ancestor of EIR. E-4 process.;;;;En of 70’s ?;~80’s ?;;0;Kodak2236.jpg
0844;008440;Kodak EKTACHROME LUMIERE 100 Professional - Code : 5046 - LPP;Neutral color. T Grain;;;;1993;~1995 ?;;0;KodakEktaLumiere100.jpg
0844;;Kodak EKTACHROME LUMIERE 100 Professional - Code : 6146 - LPP;Neutral color. T Grain;;;;1993;~1995 ?;;0;KodakEktaLumiere100.jpg
0845;008450;Kodak EKTACHROME LUMIERE 100X Professional - Code : 5048 / 6048 - LPZ;Warm color. T Grain;;;;1993;~1995 ?;;0;KodakEktaLumiere100x.jpg
0845;;Kodak EKTACHROME LUMIERE 100X Professional - Code : 6148 - LPZ;Warm color. T Grain;;;;1993;~1995 ?;;0;KodakEktaLumiere100x.jpg
0845;;Kodak EKTACHROME Lumiere 100X Professional, LPP120 - Code : 6046;;;;;;~1996;;0;
0846;008460;Kodak EKTACHROME LUMIERE 50 Professional - Code : 5066 / 6066 - LPR;Neutral color. T Grain;;;;1993;~1995 ?;;0;KodakEktaLumiere50.jpg
0846;;Kodak EKTACHROME LUMIERE 50 Professional - Code : 6166 - LPX;Neutral color. T Grain;;;;1993;~1995 ?;;0;KodakEktaLumiere50.jpg
0849;008490;Kodak EKTACHROME LUMIERE 50X Professional - Code : 5067 / 6067 - LPX;Warm color. T Grain;;;;1993;~1995 ?;;0;KodakEktaLumiere50X.jpg
0849;;Kodak EKTACHROME LUMIERE 50X Professional - Code : 6167 - LPX;Warm color. T Grain;;;;1993;~1995 ?;;0;KodakEktaLumiere50X.jpg
0858;008580;Kodak EKTACHROME P1600 Professional - Code : 5040 - EPH;"T-grain technology, ISO 400 designed to be pushed to 1600. Replaced by ""panther"" line?";;;;1992;Mid-90’s ?;;0;KodakEkta1600P.jpg
0837;008374;Kodak EKTACHROME P800/1600 Professional (yellow/Blue box) - Code : 5020 – EES;Need refrigerated storage ! Replaced by Ektachrome P1600;Kodak Limited;;Made in UK and USA;End of 80’s ?;~1993;;0;EktachromeP800-1600UK.jpg
0837;008374;Kodak EKTACHROME P800/1600 Professional (yellow/Gray box) - Code : 5020 – EES;Need refrigerated storage !;Kodak Limited;;Made in USA;1984;End of 80’s ?;;0;EktaP800-1600-first.jpg
0854;008540;Kodak EKTACHROME Panther 100 PRP – Code 1046;New emulsion to conteract Fuji. Neutral;;;;~1993 ?;~1996;;0;EktachromePanther100.jpg
0855;008550;Kodak EKTACHROME Panther 100X PRZ – Code 1048;Warm;;;;~1993 ?;~1996;;0;EktachromePanther100x.jpg
0859;008590;Kodak EKTACHROME Panther 200X PRD – Code 1056;Evolution of Ektachrome 200;;;;~1993 ?;~1996;;0;
0852;008520;Kodak EKTACHROME Panther 50 PRS – Code 1066;Neutral;;;;~1993 ?;~1996;;0;EktachromePanther50propack.jpg
0857;008570;Kodak EKTACHROME Panther 50X PRX – Code 1067;Warm;;;;~1993 ?;~1996;;0;
0380;003800;Kodak EKTACHROME Professional E100VS Film;;Eastman Kodak;;;~1999;2012;;0;KodakEktaE100VS.jpg
0099;000990;Kodak EKTACHROME Professional Infrared EIR Film (Kodak 2236?) TI-2323;Kodak Aerochrome III 1443 ?;Eastman Kodak;;Made in USA;1997;2012;;0;KodakEIR.jpg
0833;;Kodak EKTACHROME QX868 naturalcolor positive ASA 64 - thin b.;5017 emulsion;;;;;;;0;
0850;008500;Kodak EKTACHROME Select 100 Film – Code 8046;;;;;~1993 ??;;;0;KodakEktaSelect100.jpg
0851;008510;Kodak EKTACHROME Select 100x Film – Code 8048;;;;;~1993 ??;;;0;
0852;008520;Kodak EKTACHROME Select 50 Film – Code 8066;;;;;~1993 ??;;;0;
0853;008530;Kodak EKTACHROME Select 50x Film – Code 8067;;;;;~1993 ??;;;0;
0322;003224;Kodak EKTACHROME Slide Duplicating Film - Code : 5071 ESD;Low contrast film for slide duplication. E-6 process, ~4 ASA;;;;1976;90’s ?;;0;KodakEkta5071.jpg
0369;003690;Kodak EKTACHROME Underwater - Code : 5019 - UW;Ektachrome with super-sensitive red layer to compensate for the light absorbtion of water;;;Made in USA;1993;1995;;0;KodakEktaUnderwater.jpg
1321;013210;Kodak EKTACOLOR BP 160 - Code : 7124 #BP160;;;;;50’s ???;;;0;
8412;084126;Kodak Ektacolor gold 160;;;;;;;;0;
1799;017990;Kodak EKTACOLOR Gold 160 Professional;;;;;End of 80’s ?;;;0;
1796;017960;Kodak EKTACOLOR Gold 160 Professional - Code : 5124 GPF;;;;;1987;1993;;0;KodakEktaGold160.jpg
1798;017980;Kodak EKTACOLOR Gold 400 Professional – Code : 5084 (5097 Europe) EGP;;;;;;Mid 90’s ??;;0;
1798;017980;Kodak EKTACOLOR Gold 400 Professional – Code : 5087;;;;;;Early 90’s ??;;0;
1800;018000;Kodak EKTACOLOR Gold 400 Professional – Code : 5087;;;;;;;;0;
1796;017960;Kodak EKTACOLOR Gold II 160 Professional - Code : 5124 GPF;;;;;1993;1994 ?;;0;KodakEktaGoldII160.jpg
1334;013340;Kodak Ektacolor gold II 400 EGP-4;;;;;;;;0;KodakEktaGoldII400.jpg
1322;013220;Kodak EKTACOLOR Gold II 400-4 Professional – EGP;;;;;1993;1994 ?;;0;
1804;018044;Kodak Ektacolor Pro Gold 160GPX;Kodak Professional Portra 100T ?;;;;90's ?;1999 ?;;0;KodakEktaProGold160GPX.jpg
1334;113344;Kodak Ektacolor Pro Gold 400GPY;;;;;;2000's ?;;0;
7411;874116;Kodak Ektacolor Pro Gold 400MC GPM;uncertain DX number…;;;;;1999 ?;;0;
1121;;Kodak EKTAGRAPHIC - Code : 6522 - HCS;For B&W titles.;;;;;;;0;
1121;011214;Kodak EKTAGRAPHIC 4C Slide Film - Code : 6552 HCS;For B&W titles. 135-36 cartridge. Same emulsion and base as KODAK PROFESSIONAL KODALITH Ortho Film 6556, Type 3 ;;;;1984;~2000 ???;;0;KodakEktagraphicHCslide.jpg
1300;013004;Kodak Ektapress GOLD 100 Professional F - Code : 5115 - PPA;;;;;1989;;;0;
1302;013024;Kodak EKTAPRESS GOLD 1600 Professional (Gen 1) - Code : 5030 PPC 1600-1;;;;Made in USA;1988;~1993;;0;
1289;012890;Kodak EKTAPRESS GOLD 1600 Professional (Gen 2?) - Code : 8091 PBC 1600-2; ;;;Made in USA;1988;~1993;;0;
1301;013014;Kodak Ektapress GOLD 400 Professional F - Code : 5113 – PPB-1 (Gen 1?);;;;;;End of 80’s ?;;0;
1306;013064;Kodak Ektapress GOLD 400 Professional F PPB-2 (Gen 2) – Code 5113;;;;Made in USA;80’s ??;;;0;KodakEktapressGoldPPB.jpg
1306;013060;Kodak Ektapress GOLD 400 Professional PPB-3 (Gen 3?);;;;Made in USA;1988;;;0;KodakEktapressGoldPPB.jpg
1309;013090;Kodak Ektapress GOLD 400 Professional PPB-3 (Gen 3?) - Code 5113;;;;Made in USA;1988;;;0;KodakEktapressGoldPPB.jpg
1336;013360;Kodak Ektapress Gold II 100 Professional;;;;;;;;0;
1256;;Kodak Ektapress GOLD II 1600 PJC ;;;;;;;;0;
1330;013300;Kodak Ektapress Gold II 1600 Professional;;;;;;;;0;
1334;313344;Kodak Ektapress Gold II 400 Professional – PJB G5;;;;;;;;0;
1331;013314;Kodak Ektapress Multispeed Gold II ISO 100-1000 (640) – Code PJM MULTI / Multspd;;;;;~1997;2003 (or 98??);;0;KodakEktapressMultispeed.jpg
1256;112564;Kodak Ektapress Multispeed Gold II ISO 100-1000 (640) – Code PJM-2 MULTI / Multspd #pjm2;;;;;~1997;2003 (or 98??);;0;KodakEktapressMultispeed.jpg
1336;013360;Kodak Ektapress Plus 100 Professional - Code : PJA-1;;;;;;~1996;;0;
1330;013300;Kodak Ektapress Plus 1600 Professional - Code : PJC-1;;;;;;~1996;;0;
1338;013380;Kodak Ektapress Plus 200 Professional;;;;;;~1996;;0;
1334;;Kodak Ektapress Plus 400 Professional, 5113 - Code : PJB135;Bulk;;;;;~1996;;0;
1334;013340;Kodak Ektapress Plus 400 Professional, PJB135-36 - Code : 5113 – PJB-2;;;;;;~1996;;0;
1531;115314;Kodak EKTAR 100 - Code : 5301 / 3101 – CX;;;;;1991 ?;~1997;;0;
1305;013050;Kodak EKTAR 100 Gen 1 100-1 – Code CX 3101;Remplace Ektar 125. Improved under exposure latitude;;;Made in USA;;End of 80’s ?;;0;KodakEktar100old.jpg
1307;013070;Kodak EKTAR 100 Gen 2 100-2 – Code 5101;;;;Made in USA;mid 90’s ?;End of 90’s ?;;0;Ektar100Mid90.jpg
1336;013360;Kodak EKTAR 100 Gen 3 – CX / SY 100-3;;;;Made in USA;End of 90’s ?;~1997 ?;;0;Ektar100End90.jpg
1531;115314;Kodak Ektar 100 Professional (last version ?) SX;Same film, reuse of original Ektar 100 DX code ?;;;Made in USA;~2014 ?;;;2;Ektar100-2008.jpg
1532;015320;Kodak Ektar 100 Professional (new version) SX;Reintroduction of Ektar 100. 2-electron sensitization technology from Kodak Vision films;;;Made in USA;2008;~2014 ?;;0;Ektar100-2008.jpg
1299;012993;Kodak Ektar 1000 Gen 1 - Code : 5110 – CJ 1000-1;;;;Made in USA;1988;mid 90’s ?;;0;KodakEktar100first.jpg
1330;013300;Kodak Ektar 1000 Gen 2 – CJ 1000-2;;;;;Early 90’s ?;1994 (135), 1997 (120);;0;Ektar1000.jpg
1298;012983;Kodak Ektar 125 – Code 5101 CW;;;;;1989;1991;;0;KodakEktar125.jpg
1339;013390;Kodak EKTAR 200 – SW200;;;;;Early 90’s ?;End of 90’s ?;;0;
1297;112974;Kodak Ektar 25 - Code : 5100 – CK;Replaced by Royal Gold 25 ?;;;;1989;~1997;;0;KodakEktar25.jpg
1297;012973;Kodak Ektar 25 - Code : CH;;;;;1989;~1997 ?;;0;KodakEktar25.jpg
1302;013020;Kodak Ektar 25 Professional - Code : 5327 - PHR;135;;;;1989 ?;~1997 ?;;0;
1304;013044;Kodak Ektar 25 Professional - Code : 5327 - PHR;135;;;;1989 ?;~1997 ?;;0;
1304;;Kodak Ektar 25 professional film PHR120 (120 roll) - Code : 6327;120;;;;1989 ?;~1996;;0;KodakEktar25Pro120.jpg
1338;013380;Kodak EKTAR 400 – SU400;;;;;Early 90’s ?;End of 90’s ?;;0;KodakEktar400.jpg
0382;903823;Kodak Elite Chrome 100 E-6 slide film EB - Code : 5089 #elitechrome;;;;;1989;2012;;0;KodakEliteChrome100EB.jpg
0370;003703;Kodak Elite Chrome 100 E-6 slide film EB – Code 5074 #elitechrome;;;;Made in USA;1989;2012;;0;KodakEliteChrome100gene.jpg
0382;003820;Kodak Elite Chrome 100 E-6 slide film EB #elitechrome;;;;;1989;2012;;0;KodakEliteChrome100gene.jpg
0377;503774;Kodak Elite Chrome 100 E-6 slide film EB #elitechrome;;;;;1989;2012;;0;KodakEliteChrome100gene.jpg
0377;803773;Kodak Elite Chrome 100 E-6 slide film EB #elitechrome;;;;;1989;2012;;0;KodakEliteChrome100gene.jpg
0377;;Kodak Elite Chrome 100D E-6 slide film #elitechrome;;;;;;;;0;
0379;403793;Kodak Elite Chrome 200 – E6 - Code : 5014 – ED #elitechrome;;;;;;;;0;KodakEliteChromED100.jpg
0379;803794;Kodak Elite Chrome 200 – E6 - Code : 5014 – ED #elitechrome;;;;;;;;0;KodakEliteChromED100.jpg
0379;903793;Kodak Elite Chrome 200 – E6 - Code : 5014 – ED #elitechrome;;;;;;;;0;KodakEliteChromED100.jpg
0333;803333;Kodak Elite Chrome 400 E-6 slide film EL 5074 #elitechrome;;;;;~1997;;;0;Kodak2001EliteChrom400.jpg
0333;403334;Kodak Elite Chrome 400 EL #elitechrome;;;;;~2000 ?;;;0;Kodak2001EliteChrom400.jpg
0333;903334;Kodak Elite Chrome 400 EL #elitechrome;;;;;~2005 ?;;;0;Kodak2001EliteChrom400.jpg
0381;003810;Kodak Elite Chrome Extra Color 100 - Code : 5084 – EBX #elitechrome extracolor;;;;;2002 ?;2012;;0;KOdakEliteChtomExtracol100purple.jpg
0381;903814;Kodak Elite Chrome Extra Color EBX 100 #elitechrome extracolor;;;;;2002 ?;~2012;;0;KodakElitChromeExtracol100.jpg
0381;403814;Kodak ExtraColor Elite Chrome 100 EBX #EliteChrome;;;;;;~2012 ?;;0;KodakEliteChromeExtracolor.jpg
1249;212493;Kodak Farbwelt 100 FA Sonne Film;Kodak Gold 100-6 with slight modifications;Made for Kodak Germany and Austria;;;;~2013;KODAK GmbH;0;KodakFarbwelt100.jpg
1250;212503;Kodak Farbwelt 200 ;Kodak Gold 200-6 with slight modifications;Made for Kodak Germany and Austria;;;;~2013;KODAK GmbH;0;KodakFarbwelt200.jpg
1250;512504;Kodak Farbwelt 200 ;Kodak Gold 200-6 with slight modifications;Made for Kodak Germany and Austria;;;;~2013;KODAK GmbH;0;KodakFarbwelt200.jpg
1527;015270;Kodak Farbwelt 400 Allround FC400-8;Similar to Kodak Funtime ?;;;;2008 ?;~2013;;0;KodakFarwel400.jpg
1251;212514;Kodak Farbwelt 400 Der Film für alle Fälle;Kodak Gold 400-6 with slight modifications;Made for Kodak Germany and Austria;;;;~2013;KODAK GmbH;0;KodakFarwel400.jpg
1250;512504;Kodak FarbWelt Klassik 200 ;Kodak Gold 200-6 with slight modifications;Made for Kodak Germany and Austria;;;;~2013;KODAK GmbH;0;
1337;013370;Kodak Funtime 100 Film, FA135-27-2H - Code : 5299;Same code as Vision 2, different film... Similar to Kodacolor VR100 ?;;;;~1994 ??; ~1996;;0;
1266;012660;Kodak Funtime 200 Film (gen. 2);Similar to Kodacolor VR200 ?;;;;~1996 ?;;;0;
1325;113253;Kodak Funtime 200 Film, FB135-27-2H - Code : 5214;Similar to Kodacolor VR200-4 ?;;;;~1994 ??; ~1996;;0;
1340;613404;Kodak Gold 100 ;;;;;90's;;;0;KodakGold100Generic.jpg
1249;912494;Kodak Gold 100 (Australia) (Gen 6);;;;;2010's;;Kodak Australasia Pty. Ltd.;1;KodakGold100Generic.jpg
1249;412493;Kodak Gold 100 (Gen 6);;;;;;;;1;KodakGold100Generic.jpg
1249;512494;Kodak Gold 100 (Gen 6);Japanese version ?;;;;2010's;;;1;KodakGold100Generic.jpg
1249;312494;Kodak Gold 100 (India) (Gen 6);;;;;2010's;;;1;KodakGold100india.jpg
1547;015470;Kodak GOLD 100 Film;;;;;;;;1;KodakGold100Generic.jpg
3297;832973;Kodak Gold 100 Film for Jean Coutu Pharmacies in Canada;;;;;;;;0;
1340;013401;Kodak Gold 100 GA ;;;;;~1998;;;1;KodakGold100Generic.jpg
1249;012497;Kodak Gold 100 GA 100-6 (Gen 6);;;;;~1998;;;1;KodakGold100Generic.jpg
1291;012913;Kodak Gold 100 Gen 2 100-2;;;;;;;;1;KodakGold100Generic.jpg
1332;013320;Kodak Gold 100 Gen 4 100-4;;;;;;;;1;KodakGold100Generic.jpg
1799;017990;Kodak Gold 160;Uncertain…;;;;;;;0;
1289;012890;Kodak Gold 1600-1 Gen. 1 – 5091;Was Kodacolor Gold;;;(USA) MADE IN EASTMAN KODAK ROCHESTER NY ;1991;;;0;
1250;912503;Kodak Gold 200;;;;;~1991;;Kodak Australasia Pty. Ltd. ?;1;KodakGold200Generic.jpg
1304;013040;Kodak Gold 200 (First gen ??);;;;;~1991;;;0;KodakGold200Generic.jpg
3298;732983;Kodak Gold 200 for Jean Coutu Pharmacies in Canada ;;;;;;;;0;
3298;832983;Kodak Gold 200 for Jean Coutu Pharmacies in Canada ;;;;;;;;0;
1250;412503;Kodak Gold 200 GB (Gen 6?);;;;;1997;2001;;0;KodakGoldGen6.jpg
1250;012500;Kodak Gold 200 GB (Gen 6);;;;;1997;2001;;0;KodakGold200Generic.jpg
1548;015480;Kodak Gold 200 GB 200-7;;;;;~1991;;;1;KodakGold200Generic.jpg
1292;012921;Kodak Gold 200 Gen 2 GB 200-2;;;;;~1991;;;0;KodakGold200Generic.jpg
1333;013333;Kodak Gold 200 Gen 4 – 200-4;;Kodak;;;;;;0;
1250;512503;Kodak Gold 200 Gen 6;;;;Made in USA;2000’s;;;2;KodakGoldYellowPink.jpg
1250;;Kodak Gold 200 Gen 6 – 120 format;;;;Made in USA;2022;;;2;
1319;013193;Kodak Gold 200-3;;;;;~1991;;;1;KodakGold200Generic.jpg
1316;013160;Kodak Gold 400 (400-4 – Gen 4?);;;;;~1998 ?;;;0;KodakGold400old.jpg
1251;012513;Kodak Gold 400 (Gen 6);;;;;1997;2001;;0;KodakGold2400old.jpg
1249;012497;Kodak Gold 400 GA 400-6 (Gen 6);;;;;~1998 ?;;;1;
1303;013030;Kodak Gold 400-2 Gen 2 – Code 5097;;;;;Early 90’s ?;;;0;KodakGold400old.jpg
1315;013150;Kodak Gold 400-3 Gen 3;;;;;~1998 ?;;;0;KodakGold400old.jpg
1334;513347;Kodak Gold 400-5 Gen 5 GC;;;;;~1998 ?;;;0;KodakGold2400old.jpg
0692;906923;Kodak Gold 800;;;;;~1998 ?;;;0;
1342;013427;Kodak Gold 800 GT Disposable camera (Yellow can);Gold 800-1, Gen 1;;4;;~1998 ?;;;0;
1255;312557;Kodak Gold 800 GT Disposable camera (Yellow can);Gold Max 800-2;;3;;~1998 ?;;;0;
1342;013420;Kodak Gold 800-1 Gen 1;;;;;~1998 ?;;;0;
1315;013153;Kodak Gold II 400 ISO CG 400-8;Name of the Gold plus for European and Asian market;;;;1992;;;0;KodakGoldII400.jpg
1318;013183;Kodak Gold II GA / GR 100 ISO (gen 3);Name of the Gold plus for European and Asian market;;;;1992;;;0;KodakGoldII100.jpg
1340;013403;Kodak Gold III 100 – Code GA ;;;;;~1998;;;1;KodakGoldIII200.jpg
1332;013328;Kodak Gold III 100 Gen 4 – Code GA 100-4;;;;;~1998;;;1;KodakGoldIII200.jpg
1341;013413;Kodak Gold III 200 – Code GB (Gen 5?);;;;;;;;1;KodakGoldIII200.jpg
1333;013330;Kodak Gold III 200 Gen 4 – Code GB 200-4;;;;;;;;1;KodakGoldIII200.jpg
1334;013343;Kodak Gold III 400 Gen 5 – Code GC 400-5;;;;;;;;1;KodakGoldIII200.jpg
1255;012550;Kodak Gold Max 800 Gen 2 – 800-2;Similar to Max 800 ?;;;;2000;;;0;KodakGoldMax800.jpg
1318;213183;Kodak Gold Plus 100 Gen 3 #Gold+ goldplus;Renamed Gold II in EU & Asia;;;;;;;0;KodakGoldPlus100.jpg
1332;213320;Kodak Gold Plus 100 Gen 4 – 100-4 #Gold+ goldplus;Renamed Gold II in EU & Asia;;;;;;;0;KodakGoldPlus100.jpg
1340;013403;Kodak GOLD PLUS 100 Gen 5 - Code : 5095 – GA 5 100-5 #Gold+ goldplus GA5;Renamed Gold II in EU & Asia;;;;;;;0;KodakGoldPlus100GA5.jpg
1340;413403;Kodak GOLD PLUS 100 Gen 5 - Code : 5095 – GA 5 100-5 #Gold+ goldplus GA5;Renamed Gold II in EU & Asia;;;;;;;0;KodakGoldPlus100GA5.jpg
1319;013190;Kodak GOLD PLUS 200 Gen 3 - Code : 7096 – GB 200-3 #Gold+ goldplus;Renamed Gold II in EU & Asia;;;;;;;0;KodakGoldPlus200.jpg
1332;213320;Kodak Gold Plus 400 (Gen 4?) #Gold+ goldplus;Renamed Gold II in EU & Asia ?;;;Made in USA;;;;0;KodakGoldPlus400.jpg
1341;013413;Kodak GOLD Super 200 Gen 5 - Code : 5096 – GB 200-5;;;;;;;;0;
1333;013333;Kodak Gold Super 200-4 Gen 4;;Kodak;;;;;;0;
1251;412513;Kodak GOLD Ultra 400 (Gen 6) - Code : 5097 - GC;;;;;1993;;;0;
1315;413154;Kodak Gold Ultra 400 Film, GC135-36C-5 - Code : 5097 – GC 400-8;US name for Gold II improved (400-5 ?);;;;1993;End of 2000’s ?;;0;KodakGoldUltra400.jpg
1322;013220;Kodak GOLD Ultra 400 Gen 4 GC 400-4;;;;;1993;;;0;GoldUltra400Old.jpg
1334;013340;Kodak GOLD Ultra 400 Gen 5 GC 400-5;;;;;End of 90's ?;;;0;GoldUltra400Old.jpg
1251;012514;Kodak GOLD Ultra 400 Gen 6 GC 400-6;;;;;1993;;;0;KodakGoldUltra400.jpg
1334;813344;Kodak GOLD Ultra 400 Gen 7 (?) GC 400-7;;;;;1993;;;0;KodakGoldUltra400.jpg
1313;013133;Kodak GOLD Ultra 400 Gen 8 GC 400-8;;;;;1993;;;0;KodakGoldUltra400.jpg
0698;006980;Kodak Gold Ultra Zoom 800 – GT #GT800;Identical to Max Zoom 800?;;;;;;;0;KodakGoldUltraZoom.jpg
1522;015220;Kodak Hawkeye Traffic Surveillance Color Film – Code 2486 #Hawk-eye;;;;;80’s ?;2009;;0;
1525;015250;Kodak High Definition 200 Film HD2 – Code 3992;US name for Royal Supra ?;;;;2003 ?;;;0;KodakHighdef200.jpg
1525;315254;Kodak High Definition 200 Film HD2 – Code 3992;US name for Royal Supra ?;;;;2003 ?;;Kodak Australasia Pty Ltd;0;KodakHighdef200.jpg
1522;115223;Kodak High Definition 400 HDC;Close to Royal Gold;;;;;;;0;KodakHighDefHDC400.jpg
1522;315223;Kodak High Definition 400 HDC;Close to Royal Gold;;;;;;;0;KodakHighDefHDC400.jpg
0097;;Kodak High Speed Infrared IR - Code : 5218;;;;;1960;1970;;0;
0097;;Kodak High Speed Infrared IR (Estar Thick Base)- Code : 4143 – (HIS in certain country);4x5 infrared sheets;;;;1970;90’s…;;0;
0097;;Kodak High Speed IR Infrared Film (HIE) B&W (HIS on various country) – Code 2481;;;;Made in USA ?;1971;~ 1974 ?;;0;KodakHIE.jpg
0097;000974;Kodak High Speed IR Infrared Film, HIE - Code : 2481 #HIS;;;;;~ 1974 ?;80’s ?;;0;Kodak2481-80s.jpg
0097;000974;Kodak High Speed IR Infrared Film, HIE - Code : 2481 #HIS;;;;;80’s ?;2007;;0;Kodak2481-90s.jpg
0097;;Kodak High Speed IR Infrared Film, HIE417,Estar base - Code : 2481 – HIE417;Bulk roll, 80 ASA B&W, Versaflo Chemistry;;;;1963 ?;~ 1974 ?;;0;KodakIR2481.jpg
1326;113263;Kodak HORIZoN ISO 100 Color C-41;Similar to VR 100-4 ?;;;;;;;0;KodakHorizon.jpg
1272;012720;Kodak ISO 400 Color Negative Film;;;;;;;;0;
1293;012933;Kodak K Colour Print Film 5094 CN;For Asian market ??;Kodak;;;;End of 80’s ?;;0;
1348;813484;Kodak KODACHROME 200 Daylight - Code : 5001 - KL;Process K-14;;;;1988;~2001;;0;Kodachrome200last.jpg
1348;013480;Kodak KODACHROME 200 Film – Code 5001;;;;;1986;1988 ?;;0;Kodachrome200.jpg
1352;013520;Kodak KODACHROME 200 Film (PCI) – Code 5001 KL;Process included, unmounted;;;;;2002 ?;;0;
1348;813484;Kodak KODACHROME 200 KodakSelect - Code : KL;Process K-14;;;;~2001;2009;;0;Kodachrome200Select.jpg
1859;018590;Kodak KODACHROME 200 Professional Film PKL 5002;;;;;1986;2004 ?;;0;KodachromePKL200.jpg
1859;;Kodak Kodachrome 200 Professional PKL - Code : 5002;process K-14, 35mm, 5.3 mil acetate base;;;;1986; ~ 1988;;0;
1859;;Kodak KODACHROME 200 Professional, PKLK-14 - Code : 4955 - PKL;Bulk ?;;;;1986 ?;2002 ?;;0;
1347;013470;Kodak KODACHROME 25 (Daylight) - Code : 5073 – KM135;K-14 process;;;;1974;2001;;0;Kodachrome25KM.jpg
1351;013514;Kodak KODACHROME 25 (Daylight) - Code : 5073 – KM135 (PCI);K-14 process, Process included, unmounted;;;;1974;2001;;0;Kodachrome25KM.jpg
1347;;Kodak KODACHROME 25 Movie (16mm Daylight) - Code : 7267 - KM;;;;;1974 ?;2001 ?;;0;
1858;018584;Kodak Kodachrome 25 Professional - Code : 5034 PKM;"Replaced by ""amateur"" Kodachrome 25. process K-14,";;;;;;;0;
1346;013464;Kodak KODACHROME 40 (Type A) - Code : 5070 KPA-40 #kpa40;Process K-14;;;;1975~78;1997 ?;;0;Kodachrome40TypeA.jpg
1029;010294;Kodak KODACHROME 64 (Daylight) - Code : 5032 - KR;K-14 process. Share DX code with TX.;;;;;;;0;Kodachrome64KR.jpg
1345;013454;Kodak KODACHROME 64 Film (Daylight) KR 5032;;;;;;;;0;
1350;013500;Kodak KODACHROME 64 Film (Daylight) KR 5032 (PCI);Process included, unmounted;;;;1974 ?;2009 ?;;0;
1345;;Kodak KODACHROME 64 Film (Daylight) PKR;;;;;1974;80's ?;;0;Kodachrome64PKR.jpg
1345;013450;Kodak KODACHROME 64 Film KodakSelect (KR?);;;;;~2001;2009;;0;Kodachrome64Select.jpg
1857;018570;Kodak KODACHROME 64 Professional Film (Daylight) PKR 5033;;;;;80's;~2001;;0;Kodachrome64last.jpg
1340;813404;Kodak Kodacolor (Gold?) 100 China ;;;;Made in China ???;;;;1;
1260;012604;Kodak Kodacolor 100;;;;;1983 ?;;;0;Kodacolor100.jpg
1270;112703;Kodak Kodacolor 100 DA;;;;;1983 ?;;;0;Kodacolor100.jpg
1271;512714;Kodak KODACOLOR 200 (VR?);Similar to ColorPlus ?;;;;90's;;;0;Kodacolor200.jpg
1259;012593;Kodak Kodacolor 200 DB;;;;;1983 ?;;;0;Kodacolor200.jpg
2065;020650;Kodak Kodacolor CII – Code 5035 ?;;;;;;;;0;
1249;012497;Kodak Kodacolor DA100 Gen 5;Kodacolor Gold ?;;;;;;;0;
1318;013180;Kodak Kodacolor Gold 100 – 5095;;;;;Early 90’s ?;;;1;KodakGold100Generic.jpg
1286;012864;Kodak Kodacolor Gold 100 (First Kodacolor Gold);Formerly Kodacolor VR-G 100;Kodak;;;;;;0;KodakGold100-90s.jpg
1249;712494;Kodak Kodacolor Gold 100 (Gen 6);Chinese version ?;;;;;;;0;KodakGold100China1992.jpg
1261;012614;Kodak Kodacolor Gold 100 GA ;;;;;2010's;;;1;KodakGold100Generic.jpg
1291;012914;Kodak Kodacolor Gold 100 GA – 5095 / 8095 Gen 2;Same film as Kodacolor VR-G;;;;Early 90’s ?;;;1;KodakGold100Generic.jpg
1290;012904;Kodak Kodacolor Gold 100 GA – Emulsion 5095 (Gen 1 outside USA?);;;;;80’s ?;;;1;KodakGold100Generic.jpg
1289;012893;Kodak Kodacolor Gold 1600 Gen 1 – GF 1600-1 5091;"Renamed simply ""Gold 1600""";;;(USA) MADE IN EASTMAN KODAK ROCHESTER NY ;~1989;1991;;0;KodacolorGold1600GF.jpg
1319;013190;Kodak Kodacolor Gold 200 – 5096;;;;;Early 90’s ?;;;1;
1288;012880;Kodak Kodacolor Gold 200 Gen 1 (First Kodacolor Gold) – 200-1;Formerly Kodacolor VR-G 200;;;;1989;1991;;0;
1292;012924;Kodak Kodacolor Gold 200 Gen 2 – 5096 / 5396;;;;;1991;;;0;
1322;013220;Kodak Kodacolor Gold 400 – 5097;;;;;Early 90’s ?;;;1;
